0 [-2.231435e-01, 6.931472e-01]
1000 [-4.138184e-01, 7.615054e-01]
2000 [-5.088888e-01, 5.971099e-01]
3000 [-6.202863e-01, 3.616223e-01]
4000 [-7.336040e-01, 1.666681e-01]
5000 [-8.054364e-01, 4.681692e-02]
6000 [-8.128915e-01, 3.906529e-02]
7000 [-7.878809e-01, 8.513798e-02]
8000 [-7.493224e-01, 1.418322e-01]
9000 [-7.391597e-01, 1.738152e-01]
10000 [-7.401285e-01, 1.683423e-01]
11000 [-7.210459e-01, 1.974845e-01]
12000 [-7.159183e-01, 2.128712e-01]
12000 [-7.159183e-01, 2.128712e-01]
15000 [-8.311079e-01, 4.149480e-02]
