0 [-2.231435e-01, -6.931472e-01]
1000 [-3.832709e-01, -4.985535e-01]
2000 [-4.325319e-01, -4.116953e-01]
3000 [-4.319786e-01, -4.092522e-01]
4000 [-4.257419e-01, -4.140660e-01]
5000 [-3.989681e-01, -4.407898e-01]
6000 [-3.430316e-01, -4.177138e-01]
7000 [-2.802690e-01, -3.156145e-01]
8000 [-2.856803e-01, -2.794856e-01]
9000 [-2.908137e-01, -2.777567e-01]
10000 [-2.802998e-01, -2.451834e-01]
11000 [-2.701468e-01, -2.226925e-01]
12000 [-2.761478e-01, -2.160420e-01]
12000 [-2.761478e-01, -2.160420e-01]
14176 [-2.074135e-01, -3.263896e-02]
